ProviderName,CONN_CONFIG,RegionName,RegionLocation,DriverLibFileName,DriverName
AWS,aws-ap-se-1,aws-ap-southeast-1,Asia Pacific (Singapore),aws-driver-v1.0.so,aws-driver01
AWS,aws-ca-ct-1,aws-ca-central-1,Canada (Central),aws-driver-v1.0.so,aws-driver01
AWS,aws-us-west-1,aws-us-west-1,US West (N. California),aws-driver-v1.0.so,aws-driver01
AWS,aws-us-east-1,aws-us-east-1,US East (N. Virginia),aws-driver-v1.0.so,aws-driver01
AWS,aws-ap-ne-1,aws-ap-northeast-1,Asia Pacific (Tokyo),aws-driver-v1.0.so,aws-driver01
AWS,aws-ap-south-1,aws-ap-south-1,Asia Pacific (Mumbai),aws-driver-v1.0.so,aws-driver01
AWS,aws-ap-se-2,aws-ap-southeast-2,Asia Pacific (Sydney),aws-driver-v1.0.so,aws-driver01
AWS,aws-eu-west-2,aws-eu-west-2,Europe (London),aws-driver-v1.0.so,aws-driver01
AWS,aws-us-east-2,aws-us-east-2,US East (Ohio),aws-driver-v1.0.so,aws-driver01
AWS,aws-us-west-2,aws-us-west-2,US West (Oregon),aws-driver-v1.0.so,aws-driver01
AWS,aws-ap-ne-3,aws-ap-northeast-3,Asia Pacific (Osaka),aws-driver-v1.0.so,aws-driver01
AWS,aws-eu-central-1,aws-eu-central-1,Europe (Frankfurt),aws-driver-v1.0.so,aws-driver01
AWS,aws-eu-west-1,aws-eu-west-1,Europe (Ireland),aws-driver-v1.0.so,aws-driver01
AWS,aws-eu-west-3,aws-eu-west-3,Europe (Paris),aws-driver-v1.0.so,aws-driver01
AWS,aws-eu-north-1,aws-eu-north-1,Europe (Stockholm),aws-driver-v1.0.so,aws-driver01
AWS,aws-sa-east-1,aws-sa-east-1,South America (Sao Paulo),aws-driver-v1.0.so,aws-driver01
AWS,aws-ap-ne-2,aws-ap-northeast-2,Asia Pacific (Seoul),aws-driver-v1.0.so,aws-driver01
AWS,aws-ap-east-1,aws-ap-east-1,Asia Pacific (Hong Kong),aws-driver-v1.0.so,aws-driver01
AWS,aws-me-south-1,aws-me-south-1,Middle East (Bahrain),aws-driver-v1.0.so,aws-driver01
AWS,aws-af-south-1,aws-af-south-1,Africa (Cape Town),aws-driver-v1.0.so,aws-driver01
AWS,aws-eu-south-1,aws-eu-south-1,Europe (Milan),aws-driver-v1.0.so,aws-driver01
AZURE,az-wus,azure-westus,West US,azure-driver-v1.0.so,azure-driver01
AZURE,az-eus,azure-eastus,East US,azure-driver-v1.0.so,azure-driver01
AZURE,az-neurope,azure-northeurope,North Europe,azure-driver-v1.0.so,azure-driver01
AZURE,az-weurope,azure-westeurope,West Europe,azure-driver-v1.0.so,azure-driver01
AZURE,az-easia,azure-eastasia,East Asia,azure-driver-v1.0.so,azure-driver01
AZURE,az-seasia,azure-southeastasia,Southeast Asia,azure-driver-v1.0.so,azure-driver01
AZURE,az-northcus,azure-northcentralus,North Central US,azure-driver-v1.0.so,azure-driver01
AZURE,az-scus,azure-southcentralus,South Central US,azure-driver-v1.0.so,azure-driver01
AZURE,az-cus,azure-centralus,Central US,azure-driver-v1.0.so,azure-driver01
AZURE,az-eus2,azure-eastus2,East US 2,azure-driver-v1.0.so,azure-driver01
AZURE,az-japane,azure-japaneast,Japan East,azure-driver-v1.0.so,azure-driver01
AZURE,az-japanw,azure-japanwest,Japan West,azure-driver-v1.0.so,azure-driver01
AZURE,az-brazils,azure-brazilsouth,Brazil South,azure-driver-v1.0.so,azure-driver01
AZURE,az-auste,azure-australiaeast,Australia East,azure-driver-v1.0.so,azure-driver01
AZURE,az-austse,azure-australiasoutheast,Australia Southeast,azure-driver-v1.0.so,azure-driver01
AZURE,az-cindia,azure-centralindia,Central India,azure-driver-v1.0.so,azure-driver01
AZURE,az-canadac,azure-canadacentral,Canada Central,azure-driver-v1.0.so,azure-driver01
AZURE,az-canadae,azure-canadaeast,Canada East,azure-driver-v1.0.so,azure-driver01
AZURE,az-wcus,azure-westcentralus, West Central US,azure-driver-v1.0.so,azure-driver01
AZURE,az-wus2,azure-westus2,West US 2,azure-driver-v1.0.so,azure-driver01
AZURE,az-ukw,azure-ukwest,UK West,azure-driver-v1.0.so,azure-driver01
AZURE,az-uks,azure-uksouth,UK South,azure-driver-v1.0.so,azure-driver01
AZURE,az-koreac,azure-koreacentral,Korea Central,azure-driver-v1.0.so,azure-driver01
AZURE,az-koreas,azure-koreasouth,Korea South,azure-driver-v1.0.so,azure-driver01
AZURE,az-francec,azure-francecentral,France Central,azure-driver-v1.0.so,azure-driver01
AZURE,az-austc,azure-australiacentral,Australia Central,azure-driver-v1.0.so,azure-driver01
AZURE,az-safrican,azure-southafricanorth,South Africa North,azure-driver-v1.0.so,azure-driver01
AZURE,az-uaen,azure-uaenorth,UAE North,azure-driver-v1.0.so,azure-driver01
AZURE,az-switzern,azure-switzerlandnorth,Switzerland North,azure-driver-v1.0.so,azure-driver01
AZURE,az-germanywc,azure-germanywestcentral,Germany West Central,azure-driver-v1.0.so,azure-driver01
AZURE,az-norwaye,azure-norwayeast,Norway East,azure-driver-v1.0.so,azure-driver01
AZURE,az-sindia,azure-southindia,South India,azure-driver-v1.0.so,azure-driver01
AZURE,az-windia,azure-westindia,West India,azure-driver-v1.0.so,azure-driver01
AZURE,az-safricaw,azure-southafricawest,South Africa West,azure-driver-v1.0.so,azure-driver01
AZURE,az-switzerw,azure-switzerlandwest,Switzerland West,azure-driver-v1.0.so,azure-driver01
AZURE,az-germanyn,azure-germanynorth,Germany North,azure-driver-v1.0.so,azure-driver01
AZURE,az-uaec,azure-uaecentral,UAE Central,azure-driver-v1.0.so,azure-driver01
AZURE,az-norwayw,azure-norwaywest,Norway West,azure-driver-v1.0.so,azure-driver01
AZURE,az-frances,azure-francesouth,France South,azure-driver-v1.0.so,azure-driver01
AZURE,az-austc2,azure-australiacentral2,Australia Central 2,azure-driver-v1.0.so,azure-driver01
GCP,gcp-as-east1,gcp-asia-east1,Changhua County Taiwan [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-eu-west3,gcp-europe-west3,Frankfurt Germany [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-as-east2,gcp-asia-east2,Hong Kong [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-as-ne1,gcp-asia-northeast1,Tokyo Japan [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-as-ne2,gcp-asia-northeast2,Osaka Japan [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-as-ne3,gcp-asia-northeast3,Seoul South Korea [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-us-west4,gcp-us-west4,Las Vegas USA [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-as-se1,gcp-asia-southeast1,Jurong West Singapore [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-aust-se1,gcp-australia-southeast1,Sydney Australia [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-eu-north1,gcp-europe-north1,Hamina Finland [zone:a],gcp-driver-v1.0.so,gcp-driver01
GCP,gcp-eu-west1,gcp-europe-west1,St. Ghislain Belgium [zone:b],gcp-driver-v1.0.so,gcp-driver01
