ProviderName,regionName,cspImageId,OsType
AWS,ap-southeast-1,ami-061eb2b23f9f8839c,Ubuntu 18.04
AWS,ap-southeast-1,ami-02ee763250491e04a,Ubuntu 22.04
AWS,ap-southeast-1,ami-0d55f20871d03244b,Debian 10
AWS,ap-southeast-1,ami-06ff89fde394bfd6d,Windows Server 2012 R2
AWS,ca-central-1,ami-0d0eaed20348a3389,Ubuntu 18.04
AWS,ca-central-1,ami-0b6937ac543fe96d7,Ubuntu 22.04
AWS,ca-central-1,ami-0b572790c607396bb,Debian 10
AWS,ca-central-1,ami-08bb451e17239bc35,Windows Server 2012 R2
AWS,us-west-1,ami-0dd655843c87b6930,Ubuntu 18.04
AWS,us-west-1,ami-085284d24fe829cd0,Ubuntu 22.04
AWS,us-west-1,ami-0a2a0146cce54add1,Debian 10
AWS,us-west-1,ami-007ecccd0b872e690,Windows Server 2012 R2
AWS,us-east-1,ami-085925f297f89fce1,Ubuntu 18.04
AWS,us-east-1,ami-052efd3df9dad4825,Ubuntu 22.04
AWS,us-east-1,ami-0e3370550517d663c,Debian 10
AWS,us-east-1,ami-0a115baff5798ce9f,Windows Server 2012 R2
AWS,ap-northeast-1,ami-0cd744adeca97abb1,Ubuntu 18.04
AWS,ap-northeast-1,ami-07200fa04af91f087,Ubuntu 22.04
AWS,ap-northeast-1,ami-039ed92b1a75d78cc,Debian 10
AWS,ap-northeast-1,ami-006b8cbbcbb9386e7,Windows Server 2012 R2
AWS,ap-south-1,ami-0123b531fc646552f,Ubuntu 18.04
AWS,ap-south-1,ami-068257025f72f470d,Ubuntu 22.04
AWS,ap-south-1,ami-01c4fc7cb18b931d3,Debian 10
AWS,ap-south-1,ami-0c267eb626faf52fc,Windows Server 2012 R2
AWS,ap-southeast-2,ami-00a54827eb7ffcd3c,Ubuntu 18.04
AWS,ap-southeast-2,ami-0e040c48614ad1327,Ubuntu 22.04
AWS,ap-southeast-2,ami-0b059f50f9974fc49,Windows Server 2012 R2
AWS,eu-west-2,ami-0be057a22c63962cb,Ubuntu 18.04
AWS,eu-west-2,ami-0fb391cce7a602d1f,Ubuntu 22.04
AWS,eu-west-2,ami-0fc22514827f2e7de,Windows Server 2012 R2
AWS,us-east-2,ami-01e7ca2ef94a0ae86,Ubuntu 18.04
AWS,us-east-2,ami-02f3416038bdb17fb,Ubuntu 22.04
AWS,us-east-2,ami-0eb31daebdf3775ac,Windows Server 2012 R2
AWS,us-east-2,ami-0ad87058f66b00409,Debian 10
AWS,us-east-2,ami-0c616d2c080a12072,Ubuntu 20.04
AWS,us-west-2,ami-02701bcdc5509e57b,Ubuntu 18.04
AWS,us-west-2,ami-0d70546e43a941d70,Ubuntu 22.04
AWS,us-west-2,ami-0be1488bb453a4e59,Windows Server 2012 R2
