,alibaba-ap-south-1,alibaba-ap-southeast-2,alibaba-ap-southeast-3,alibaba-ap-southeast-5,alibaba-cn-chengdu,alibaba-cn-huhehaote,alibaba-cn-qingdao,alibaba-cn-zhangjiakou,alibaba-eu-central-1,alibaba-eu-west-1,alibaba-me-east-1,alibaba-us-east-1,alibaba-us-west-1,aws-af-south-1,aws-ap-east-1,aws-ap-northeast-1,aws-ap-northeast-2,aws-ap-northeast-3,aws-ap-south-1,aws-ap-southeast-1,aws-ap-southeast-2,aws-ca-central-1,aws-eu-central-1,aws-eu-north-1,aws-eu-south-1,aws-eu-west-1,aws-eu-west-2,aws-eu-west-3,aws-me-south-1,aws-sa-east-1,aws-us-east-1,aws-us-east-2,aws-us-west-1,aws-us-west-2,azure-australiacentral,azure-australiaeast,azure-australiasoutheast,azure-brazilsouth,azure-canadacentral,azure-canadaeast,azure-centralindia,azure-centralus,azure-eastasia,azure-eastus2,azure-francecentral,azure-germanywestcentral,azure-japaneast,azure-japanwest,azure-koreacentral,azure-koreasouth,azure-northcentralus,azure-northeurope,azure-norwayeast,azure-southafricanorth,azure-southcentralus,azure-southeastasia,azure-southindia,azure-switzerlandnorth,azure-uaenorth,azure-uksouth,azure-ukwest,azure-westcentralus,azure-westeurope,azure-westus2,gcp-asia-east1,gcp-asia-east2,gcp-asia-northeast1,gcp-asia-northeast2,gcp-asia-northeast3,gcp-asia-south1,gcp-asia-southeast1,gcp-asia-southeast2,gcp-australia-southeast1,gcp-europe-central2,gcp-europe-north1,gcp-europe-west1,gcp-europe-west2,gcp-europe-west3,gcp-europe-west4,gcp-europe-west6,gcp-northamerica-northeast1,gcp-southamerica-east1,gcp-us-central1,gcp-us-east1,gcp-us-east4,ibm-au-syd,ibm-br-sao,ibm-ca-tor,ibm-eu-de,ibm-eu-gb,ibm-jp-osa,ibm-jp-tok,ibm-us-east,ibm-us-south,tencent-ap-bangkok,tencent-ap-beijing,tencent-ap-chengdu,tencent-ap-chongqing,tencent-ap-guangzhou,tencent-ap-hongkong,tencent-ap-jakarta,tencent-ap-mumbai,tencent-ap-nanjing,tencent-ap-seoul,tencent-ap-singapore,tencent-ap-tokyo,tencent-eu-frankfurt,tencent-na-ashburn,tencent-na-siliconvalley,tencent-na-toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alibaba-ap-south-1,0.223,148.493,65.779,69.837,131.215,264.157,281.086,258.683,241.312,165.470,144.997,316.281,245.627,268.030,101.308,136.061,137.745,126.237,2.231,55.076,151.093,264.594,136.820,144.833,126.225,131.668,125.069,131.930,33.526,321.735,200.687,207.805,243.036,262.072,157.669,150.693,144.539,303.650,211.040,229.763,4.028,239.289,84.134,204.201,128.790,126.328,141.220,141.932,137.785,123.957,220.427,134.323,146.074,267.450,226.463,71.904,43.053,120.864,28.859,126.274,130.693,238.728,128.647,237.636,110.095,96.399,132.902,133.221,121.524,2.790,61.043,73.856,154.000,152.553,163.428,136.415,140.532,132.232,137.375,127.447,213.887,328.288,237.815,222.845,214.061,152.907,331.698,298.139,121.104,123.224,140.336,136.311,297.961,265.561,84.097,389.685,401.629,404.436,392.341,92.841,70.069,1.784,345.871,130.369,58.208,135.644,126.269,239.397,238.583,248.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alibaba-ap-southeast-2,148.494,0.188,92.843,222.204,188.343,201.219,256.117,190.492,273.063,237.964,414.102,347.882,215.408,440.929,153.837,120.886,162.247,170.741,277.874,98.464,2.251,225.762,306.831,320.059,314.831,309.644,296.226,294.136,371.468,317.962,218.654,224.386,157.320,174.972,6.390,3.343,16.003,323.467,215.822,219.003,139.856,212.350,176.267,212.004,257.955,265.325,146.625,153.293,169.634,163.319,207.743,266.282,282.181,410.533,170.233,93.990,126.346,264.964,179.372,259.187,259.784,162.470,264.490,159.436,133.782,128.459,122.197,128.942,147.471,152.924,93.704,107.074,2.305,293.405,294.431,272.280,263.936,279.084,270.475,285.265,197.653,292.249,176.310,198.574,193.935,1.909,309.266,202.878,265.273,265.141,150.615,145.360,218.356,177.110,125.833,307.539,349.331,370.845,336.119,156.781,112.464,157.417,283.689,187.115,97.702,162.693,297.130,218.170,149.438,216.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alibaba-ap-southeast-3,65.788,92.848,0.212,20.139,167.205,311.574,124.860,308.654,189.606,156.192,92.112,256.003,197.200,320.027,46.971,80.016,76.107,74.122,63.868,7.798,98.783,266.035,169.060,189.082,170.343,185.208,182.233,174.799,170.909,336.917,237.878,231.320,182.470,189.987,218.293,212.077,217.198,340.587,226.347,229.744,102.363,229.719,39.776,231.249,168.492,158.865,89.607,86.798,72.712,64.611,214.780,173.836,181.487,324.002,204.277,7.001,74.315,164.939,177.543,167.160,176.927,211.864,179.896,164.109,54.219,42.944,94.378,90.568,101.526,110.048,9.268,55.466,101.841,192.959,210.234,180.947,185.629,202.919,186.633,173.390,224.265,336.608,208.878,224.832,212.693,98.592,348.866,230.898,174.613,181.092,87.798,85.707,224.533,207.724,30.184,295.485,265.156,304.235,229.788,37.316,54.786,66.060,284.310,104.316,43.299,72.725,162.392,240.944,182.270,222.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alibaba-ap-southeast-5,69.849,222.209,19.959,1.521,158.166,289.099,126.764,277.109,202.942,169.475,277.269,277.006,199.071,406.789,53.966,98.803,87.499,88.280,83.226,15.310,107.527,291.901,251.673,272.606,276.443,265.799,250.959,251.987,272.821,353.647,249.726,259.495,201.292,231.994,106.690,101.836,99.141,342.471,234.980,248.093,80.580,213.841,49.489,238.617,159.376,164.130,83.083,92.787,81.306,81.291,225.613,171.593,184.594,308.694,205.032,16.221,50.359,158.286,89.258,166.118,168.828,198.074,166.002,179.276,59.412,48.748,96.370,87.538,84.478,76.650,14.964,3.450,107.932,224.666,241.132,209.379,212.673,204.145,219.014,206.761,235.812,346.504,217.866,244.893,231.809,105.099,364.992,244.260,172.877,180.514,100.466,94.189,242.810,231.976,41.205,274.493,265.696,244.866,241.019,49.332,2.683,76.891,254.110,115.931,15.126,84.894,169.447,239.130,181.964,228.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alibaba-cn-chengdu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alibaba-cn-huhehaote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alibaba-cn-qingdao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alibaba-cn-zhangjiakou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alibaba-eu-central-1,241.303,265.575,189.608,202.766,258.793,238.256,216.208,226.182,0.223,14.451,152.908,97.923,140.865,158.017,242.333,238.614,280.307,250.058,118.604,160.026,290.363,91.102,2.168,22.119,11.854,26.587,16.674,11.211,84.529,213.507,91.956,99.341,157.400,165.840,239.644,239.297,231.886,194.067,102.012,110.076,137.473,121.560,184.875,90.654,9.669,2.583,217.571,228.727,217.898,209.448,110.106,23.326,23.666,173.560,116.265,152.104,159.069,7.032,116.166,15.172,18.683,136.569,11.158,156.780,253.208,220.282,227.819,241.637,256.496,130.542,204.245,204.241,278.722,21.992,33.822,8.733,14.551,1.965,8.812,14.228,88.002,200.857,107.782,100.350,89.648,274.757,221.756,93.317,1.528,13.806,259.764,252.848,92.241,114.982,180.760,275.572,283.753,259.877,258.510,197.377,166.678,127.955,288.021,294.348,164.204,258.818,1.110,94.649,150.443,100.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alibaba-eu-west-1,165.457,242.775,156.170,169.285,222.028,230.793,262.648,222.526,14.459,0.207,192.690,87.150,154.411,142.966,193.832,236.130,232.955,239.252,267.535,289.626,272.564,84.614,17.313,32.881,25.828,13.920,3.199,11.541,85.415,200.899,79.568,92.626,146.467,150.907,240.757,238.001,233.613,180.727,87.514,96.084,139.122,108.131,184.328,78.793,8.731,16.762,217.148,232.260,219.268,212.334,96.612,11.671,28.422,166.162,110.187,150.356,172.641,20.560,117.937,2.913,4.427,120.763,9.565,143.663,216.412,204.751,222.380,224.326,227.075,204.592,204.434,218.513,282.830,28.545,37.700,12.075,3.335,16.462,12.877,21.925,78.401,202.286,110.383,89.824,79.589,268.040,189.420,82.102,14.170,3.683,266.261,251.910,75.942,113.052,187.986,217.293,269.422,271.335,250.956,184.931,326.425,121.537,250.223,272.787,313.029,233.117,17.487,75.705,143.405,88.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
