providerName,regionName,cspSpecName,costPerHour,currency,evaluationScore01,evaluationScore02,evaluationScore03,evaluationScore04,evaluationScore05,evaluationScore06,evaluationScore07,evaluationScore08,evaluationScore09,evaluationScore10,rootDiskType,rootDiskSize,acceleratorType,acceleratorModel,acceleratorCount,acceleratorMemoryGB,description,infraType
NCPVPC,KR,s2-g3,0.0848,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,s2-g3a,0.0848,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,s4-g3,0.1747,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,s4-g3a,0.1747,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,s8-g3,0.3546,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,s8-g3a,0.3546,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,s16-g3,0.7151,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,s16-g3a,0.7151,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,s32-g3,1.4361,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,s32-g3a,1.4361,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,s48-g3,2.1570,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,s48-g3a,2.1570,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,s64-g3,2.8780,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,s64-g3a,2.8780,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,m2-g3,0.1172,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,m2-g3a,0.1172,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,m4-g3,0.2403,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,m4-g3a,0.2403,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,m8-g3,0.4858,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,m8-g3a,0.4858,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,m16-g3,0.9775,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,m16-g3a,0.9775,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,m32-g3,1.9602,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,m32-g3a,1.9602,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,m48-g3,2.9429,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,m48-g3a,2.9429,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,ci2-g3,0.0730,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,ci4-g3,0.1511,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,ci8-g3,0.3074,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,ci16-g3,0.6207,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,ci32-g3,1.2473,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,ci48-g3,1.8799,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,ci64-g3,2.5065,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,KR,mi1-g3,0.0111,USD,-1,,,,,,,,,,default,10,,,,,,vm
NCPVPC,SGN,s2-g3,0.0892,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,s2-g3a,0.0892,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,s4-g3,0.1836,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,s4-g3a,0.1836,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,s8-g3,0.3723,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,s8-g3a,0.3723,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,s16-g3,0.7512,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,s16-g3a,0.7512,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,s32-g3,1.5083,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,s32-g3a,1.5083,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,s48-g3,2.2654,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,s48-g3a,2.2654,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,s64-g3,3.0225,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,s64-g3a,3.0225,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,c2-g3,0.0715,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,c2-g3a,0.0715,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,c4-g3,0.1489,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,c4-g3a,0.1489,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,c8-g3,0.3037,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,c8-g3a,0.3037,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,c16-g3,0.6134,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,c16-g3a,0.6134,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,c32-g3,1.2326,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,c32-g3a,1.2326,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,c48-g3,1.8518,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,c48-g3a,1.8518,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,c64-g3,2.4711,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,c64-g3a,2.4711,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,m2-g3,0.1172,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,m2-g3a,0.1172,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,m4-g3,0.2403,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,m4-g3a,0.2403,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,m8-g3,0.4858,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,m8-g3a,0.4858,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,m16-g3,0.9775,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,m16-g3a,0.9775,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,m32-g3,1.9602,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,m32-g3a,1.9602,USD,-1,,,,,,,,,,default,default,,,,,,vm
NCPVPC,SGN,m48-g3,2.9429,USD,-1,,,,,,,,,,default,default,,,,,,vm
